Date,Open,High,Low,Close,Volume
2010-07-02,88.99,89.35,86.8,86.8,485
2010-07-06,87.07,89.1,86.8,89.1,684
2010-07-07,87.0,88.41,87.0,88.15,888
2010-07-08,89.2,92.07,89.2,91.37,905
2010-07-09,92.04,92.04,91.3,91.78,488
2010-07-12,92.66,95.0,92.66,93.6,2651
2010-07-13,94.53,96.75,94.53,96.75,312
2010-07-14,98.4,98.4,96.12,96.75,482
2010-07-15,96.2,96.2,92.0,93.54,4731
2010-07-16,94.61,94.61,92.64,92.64,587
2010-07-19,92.86,92.86,90.93,90.93,396
2010-07-20,92.0,93.4,91.6,91.7,2002
2010-07-21,93.5,95.0,92.35,92.6,1225
2010-07-22,92.35,93.29,91.3,92.38,3434
2010-07-23,82.9,88.0,81.05,87.2,38129
2010-07-26,91.8,92.75,89.84,89.85,4572
2010-07-27,91.47,91.57,88.85,88.85,2948
2010-07-28,89.74,90.75,89.74,89.9,582
2010-07-29,88.22,90.93,87.95,88.95,859
2010-07-30,89.36,89.54,88.83,89.45,658
2010-08-02,91.11,91.5,89.99,90.0,2928
2010-08-03,90.98,92.5,90.98,92.5,524
2010-08-04,92.1,95.5,92.1,95.5,1658
2010-08-05,96.6,97.06,95.55,95.7,647
2010-08-06,97.44,97.54,94.85,94.85,1733
2010-08-09,96.27,97.94,96.27,97.2,236
2010-08-10,97.74,98.0,96.75,98.0,1318
2010-08-11,99.14,99.14,97.41,97.41,976
2010-08-12,97.1,98.05,97.1,98.05,858
2010-08-13,98.37,98.95,97.4,97.4,342
2010-08-16,97.35,98.5,96.0,98.5,1374
2010-08-17,97.92,98.85,97.75,98.7,423
2010-08-18,100.0,100.35,99.45,100.35,770
2010-08-19,101.0,101.0,98.95,98.95,385
2010-08-20,100.25,100.6,99.5,99.73,1877
2010-08-23,100.9,101.35,100.0,100.0,3075
2010-08-24,99.83,99.95,97.35,98.05,2274
2010-08-25,98.0,99.25,97.2,99.21,1575
2010-08-26,99.63,100.15,98.75,99.55,11117
2010-08-27,98.67,98.67,96.5,98.25,4276
2010-08-30,99.6,99.6,98.65,98.65,591
2010-08-31,96.66,98.05,96.55,98.05,2441
2010-09-01,98.67,101.0,98.3,101.0,1277
2010-09-02,102.5,105.05,102.5,104.7,5516
2010-09-03,104.7,108.2,104.7,107.0,2799
2010-09-07,108.2,108.3,107.6,108.3,5278
2010-09-08,108.0,108.8,107.5,108.35,5434
2010-09-09,108.9,110.3,108.9,110.0,5698
2010-09-10,110.05,111.85,110.0,111.45,1688
2010-09-13,111.9,113.45,111.3,113.2,3872
2010-09-14,111.8,113.05,111.8,112.15,1341
2010-09-15,111.6,112.6,110.5,110.5,1070
2010-09-16,110.1,112.55,109.2,112.2,4421
2010-09-17,113.3,114.0,112.75,112.75,1490
2010-09-20,114.75,115.0,113.0,115.0,762
2010-09-21,115.7,116.15,114.9,116.0,4111
2010-09-22,112.6,113.65,111.2,112.55,3320
2010-09-23,113.3,116.55,112.8,116.55,3540
2010-09-24,114.9,118.0,114.9,118.0,572
2010-09-27,120.0,120.95,117.4,118.3,2658
2010-09-28,119.4,119.4,116.2,117.2,2185
2010-09-29,120.45,120.45,117.0,118.05,479
2010-09-30,116.5,117.7,113.0,115.15,1422
2010-10-01,114.8,115.6,111.1,111.1,1134
